Date,Open,High,Low,Close,Volume
03/15/2021,"69.38","70.75","51.50","55.04","96,904,756"
03/12/2021,"68.75","73.88","65.57","66.13","103,383,600"
03/11/2021,"60.41","70.38","58.15","65.00","113,249,960"
03/10/2021,"67.36","87.13","43.00","66.25","286,282,280"
03/09/2021,"54.43","62.46","52.13","61.73","156,397,312"
03/08/2021,"38.72","52.72","36.53","48.63","254,262,484"
03/05/2021,"32.04","37.88","31.88","34.44","122,934,680"
03/04/2021,"31.25","36.97","28.83","33.09","130,427,564"
03/03/2021,"30.63","31.94","28.28","31.05","77,095,524"
03/02/2021,"29.23","33.30","28.05","29.55","135,132,156"
03/01/2021,"26.14","33.50","24.99","30.10","199,175,876"
02/26/2021,"29.37","35.73","21.50","25.44","368,776,592"
02/25/2021,"42.39","46.17","25.25","27.18","601,235,188"
02/24/2021,"11.18","22.93","11.18","22.93","332,446,968"
02/23/2021,"11.24","11.56","10.00","11.24","30,260,860"
02/22/2021,"11.67","12.13","10.60","11.50","77,904,080"
02/19/2021,"10.32","10.97","9.63","10.15","59,312,960"
02/18/2021,"12.12","12.22","10.16","10.17","95,962,244"
02/17/2021,"12.44","12.80","11.14","11.49","37,043,180"
02/16/2021,"13.17","13.38","12.26","12.38","32,700,120"
02/12/2021,"12.69","13.81","12.01","13.10","58,293,040"
02/11/2021,"12.50","13.83","12.06","12.78","52,226,920"
02/10/2021,"12.69","15.71","11.64","12.80","145,820,156"
02/09/2021,"14.15","14.25","11.63","12.58","107,372,320"
02/08/2021,"18.10","18.17","14.51","15.00","102,749,116"
02/05/2021,"13.51","23.75","12.77","15.94","325,380,032"
02/04/2021,"22.80","22.88","13.33","13.38","249,709,124"
02/03/2021,"28.00","28.35","21.31","23.10","170,794,048"
02/02/2021,"35.19","39.50","18.56","22.50","312,732,280"
02/01/2021,"79.14","80.50","53.00","56.25","149,528,608"
01/29/2021,"94.93","103.50","62.50","81.25","202,264,236"
01/28/2021,"66.25","120.75","28.06","48.40","235,263,236"
01/27/2021,"88.71","95.00","62.25","86.88","373,586,688"
01/26/2021,"22.14","37.50","20.05","37.00","714,352,000"
01/25/2021,"24.18","39.80","15.28","19.20","711,496,000"
01/22/2021,"10.65","19.19","10.58","16.25","788,631,624"
01/21/2021,"9.81","11.19","9.25","10.76","228,319,016"
01/20/2021,"9.34","10.30","9.02","9.78","133,887,156"
01/19/2021,"10.39","11.38","9.16","9.84","298,887,688"
01/15/2021,"9.62","10.19","8.50","8.88","187,465,436"
01/14/2021,"9.52","10.77","8.26","9.98","374,869,624"
01/13/2021,"5.11","9.66","5.01","7.85","578,006,812"
01/12/2021,"4.99","5.10","4.83","4.99","28,242,660"
01/11/2021,"4.85","5.16","4.75","4.99","59,710,440"
01/08/2021,"4.55","4.58","4.27","4.42","25,927,840"
01/07/2021,"4.62","4.86","4.51","4.52","24,517,104"
01/06/2021,"4.34","4.75","4.33","4.59","24,224,992"
01/05/2021,"4.34","4.52","4.31","4.34","19,845,828"
01/04/2021,"4.75","4.78","4.29","4.31","40,089,880"
12/31/2020,"4.81","4.95","4.70","4.71","27,690,608"
12/30/2020,"4.85","5.00","4.71","4.82","23,737,564"
12/29/2020,"5.21","5.27","4.64","4.85","36,965,764"
12/28/2020,"5.33","5.49","5.09","5.25","35,863,432"
12/24/2020,"5.25","5.37","4.99","5.04","25,048,696"
12/23/2020,"5.04","5.59","4.78","5.14","103,321,040"
12/22/2020,"4.06","5.01","4.04","4.87","122,750,884"
12/21/2020,"3.95","4.09","3.82","3.88","39,504,512"
12/18/2020,"3.95","4.08","3.80","3.91","66,475,116"
12/17/2020,"3.49","3.75","3.40","3.71","32,779,608"
12/16/2020,"3.49","3.58","3.40","3.46","23,460,492"
12/15/2020,"3.20","3.51","3.12","3.46","32,771,424"
12/14/2020,"3.34","3.36","3.04","3.18","40,028,360"
12/11/2020,"3.48","3.50","3.26","3.33","29,987,472"
12/10/2020,"3.28","3.60","3.26","3.53","30,235,688"
12/09/2020,"3.48","3.68","3.31","3.42","97,431,756"
12/08/2020,"4.09","4.30","3.98","4.24","64,480,640"
12/07/2020,"4.25","4.38","4.06","4.09","29,545,032"
12/04/2020,"4.08","4.32","4.07","4.23","35,890,688"
12/03/2020,"4.12","4.16","3.97","4.03","25,179,860"
12/02/2020,"3.93","4.17","3.85","4.15","31,533,520"
12/01/2020,"4.28","4.35","3.94","3.95","50,664,120"
11/30/2020,"4.54","4.86","4.14","4.14","127,934,000"
11/27/2020,"3.82","4.19","3.72","4.02","50,016,800"
11/25/2020,"3.40","3.81","3.36","3.69","35,440,368"
11/24/2020,"3.56","3.57","3.33","3.42","28,746,840"
11/23/2020,"3.23","3.53","3.17","3.48","38,431,892"
11/20/2020,"3.14","3.37","3.14","3.18","33,609,388"
11/19/2020,"2.90","3.20","2.86","3.12","47,150,440"
11/18/2020,"2.95","3.01","2.89","2.89","12,676,888"
11/17/2020,"2.91","2.98","2.81","2.91","26,712,704"
11/16/2020,"2.79","3.17","2.68","3.02","39,099,296"
11/13/2020,"2.84","2.89","2.75","2.75","14,184,684"
11/12/2020,"2.94","2.97","2.74","2.78","17,423,568"
11/11/2020,"2.88","2.99","2.80","2.94","19,530,276"
11/10/2020,"2.88","2.92","2.71","2.78","15,303,852"
11/09/2020,"3.19","3.23","2.81","2.87","24,979,460"
11/06/2020,"2.88","3.04","2.83","2.97","22,072,972"
11/05/2020,"2.82","2.96","2.77","2.86","18,820,980"
11/04/2020,"2.94","2.94","2.65","2.73","23,231,484"
11/03/2020,"2.69","2.97","2.66","2.89","29,817,888"
11/02/2020,"2.71","2.77","2.63","2.69","20,908,044"
10/30/2020,"2.91","2.91","2.59","2.62","46,249,480"
10/29/2020,"2.97","3.06","2.92","2.93","16,663,372"
10/28/2020,"3.07","3.26","2.95","2.96","25,554,320"
10/27/2020,"3.43","3.43","3.09","3.17","28,924,024"
10/26/2020,"3.73","3.86","3.32","3.36","53,505,080"
10/23/2020,"3.76","3.85","3.64","3.75","26,029,296"
10/22/2020,"3.55","3.97","3.55","3.73","64,848,920"
10/21/2020,"3.48","3.61","3.45","3.53","21,447,712"
10/20/2020,"3.51","3.54","3.42","3.47","26,415,804"
10/19/2020,"3.36","3.63","3.35","3.48","52,676,280"
10/16/2020,"3.44","3.48","3.27","3.33","46,606,320"
10/15/2020,"3.00","3.78","3.00","3.46","159,579,280"
10/14/2020,"3.17","3.17","3.01","3.06","43,107,040"
10/13/2020,"2.93","3.11","2.91","2.97","40,718,840"
10/12/2020,"2.92","3.19","2.85","2.95","94,622,796"
10/09/2020,"3.21","3.70","2.98","3.01","308,611,124"
10/08/2020,"2.39","3.41","2.30","3.37","305,814,248"
10/07/2020,"2.31","2.39","2.29","2.34","13,234,576"
10/06/2020,"2.39","2.46","2.28","2.28","18,141,684"
10/05/2020,"2.36","2.40","2.31","2.37","11,219,876"
10/02/2020,"2.35","2.45","2.33","2.35","17,361,936"
10/01/2020,"2.52","2.56","2.42","2.44","18,216,220"
09/30/2020,"2.56","2.69","2.52","2.55","24,316,132"
09/29/2020,"2.50","2.66","2.48","2.59","20,977,356"
09/28/2020,"2.54","2.57","2.39","2.52","27,057,292"
09/25/2020,"2.30","2.55","2.28","2.51","30,060,628"
09/24/2020,"2.43","2.45","2.25","2.29","31,755,352"
09/23/2020,"2.65","2.72","2.48","2.51","42,604,600"
09/22/2020,"2.61","2.79","2.48","2.64","139,009,920"
09/21/2020,"2.34","2.40","2.10","2.19","30,559,224"
09/18/2020,"2.30","2.44","2.23","2.37","69,630,040"
09/17/2020,"2.14","2.44","2.10","2.30","68,106,884"
09/16/2020,"1.76","2.26","1.76","2.17","77,386,040"
09/15/2020,"1.72","1.82","1.67","1.77","22,973,956"
09/14/2020,"1.70","1.75","1.61","1.73","40,475,880"
09/11/2020,"1.57","1.58","1.47","1.52","24,244,760"
09/10/2020,"1.66","1.74","1.55","1.56","62,233,120"
09/09/2020,"1.99","2.00","1.83","1.84","36,272,328"
09/08/2020,"1.89","2.07","1.87","1.93","39,266,480"
09/04/2020,"1.95","1.98","1.79","1.91","30,647,976"
09/03/2020,"1.97","2.11","1.81","1.96","57,378,000"
09/02/2020,"1.95","2.01","1.78","1.93","52,044,440"
09/01/2020,"1.83","1.96","1.69","1.91","92,844,204"
08/31/2020,"1.44","1.79","1.42","1.67","151,904,000"
08/28/2020,"1.33","1.39","1.30","1.35","16,947,704"
08/27/2020,"1.28","1.34","1.26","1.31","13,538,632"
08/26/2020,"1.24","1.31","1.23","1.28","11,118,656"
08/25/2020,"1.22","1.31","1.22","1.25","11,994,712"
08/24/2020,"1.28","1.28","1.14","1.22","18,341,464"
08/21/2020,"1.15","1.40","1.15","1.26","42,570,360"
08/20/2020,"1.16","1.17","1.13","1.15","9,764,736"
08/19/2020,"1.20","1.21","1.16","1.18","10,450,332"
08/18/2020,"1.15","1.22","1.11","1.20","15,339,360"
08/17/2020,"1.20","1.20","1.14","1.16","9,483,880"
08/14/2020,"1.15","1.21","1.14","1.19","13,898,768"
08/13/2020,"1.13","1.18","1.12","1.16","8,513,252"
08/12/2020,"1.10","1.16","1.09","1.13","12,230,376"
08/11/2020,"1.11","1.14","1.09","1.09","12,556,420"
08/10/2020,"1.05","1.14","1.05","1.08","18,247,088"
08/07/2020,"1.10","1.10","1.02","1.04","13,364,396"
08/06/2020,"1.15","1.16","1.10","1.11","7,604,896"
08/05/2020,"1.13","1.19","1.06","1.16","19,702,788"
08/04/2020,"1.03","1.18","1.03","1.11","41,445,440"
08/03/2020,"1.01","1.06","1.00","1.04","10,072,040"
07/31/2020,"1.02","1.04","1.00","1.00","7,518,212"
07/30/2020,"1.00","1.06","0.99","1.03","9,593,940"
07/29/2020,"0.99","1.05","0.98","1.02","11,518,504"
07/28/2020,"0.99","1.01","0.98","0.99","18,221,568"
07/27/2020,"1.01","1.03","0.99","1.00","9,890,784"
07/24/2020,"1.02","1.06","1.00","1.01","8,865,180"
07/23/2020,"1.02","1.08","1.02","1.03","12,950,200"
07/22/2020,"1.01","1.03","0.98","1.03","10,094,188"
07/21/2020,"0.98","1.02","0.97","1.00","13,364,048"
07/20/2020,"0.99","1.02","0.94","0.96","13,604,352"
07/17/2020,"1.04","1.06","0.98","0.99","12,266,196"
07/16/2020,"1.05","1.05","1.02","1.04","5,321,844"
07/15/2020,"1.03","1.07","1.03","1.05","5,896,504"
07/14/2020,"1.06","1.08","1.02","1.02","9,046,356"
07/13/2020,"1.09","1.14","1.07","1.07","16,865,060"
07/10/2020,"1.05","1.10","1.05","1.09","5,643,312"
07/09/2020,"1.07","1.08","1.03","1.05","7,970,484"
07/08/2020,"1.03","1.07","1.01","1.07","8,211,316"
07/07/2020,"1.05","1.06","1.02","1.02","9,827,880"
07/06/2020,"1.08","1.09","1.05","1.06","8,563,516"
07/02/2020,"1.12","1.13","1.07","1.07","7,551,004"
07/01/2020,"1.08","1.13","1.08","1.11","9,216,404"
06/30/2020,"1.08","1.13","1.05","1.09","15,556,116"
06/29/2020,"1.09","1.13","1.08","1.10","8,525,320"
06/26/2020,"1.12","1.13","1.07","1.09","15,204,620"
06/25/2020,"1.08","1.14","1.07","1.12","9,803,744"
06/24/2020,"1.21","1.21","1.10","1.10","11,904,836"
06/23/2020,"1.24","1.25","1.20","1.21","12,821,488"
06/22/2020,"1.20","1.24","1.18","1.22","12,715,864"
06/19/2020,"1.24","1.27","1.17","1.22","29,463,468"
06/18/2020,"1.17","1.24","1.16","1.24","13,695,308"
06/17/2020,"1.14","1.21","1.13","1.19","14,373,864"
06/16/2020,"1.24","1.24","1.13","1.16","12,494,140"
06/15/2020,"1.13","1.19","1.11","1.17","15,641,540"
06/12/2020,"1.15","1.20","1.10","1.18","17,512,768"
06/11/2020,"1.16","1.22","1.05","1.09","24,943,972"
06/10/2020,"1.20","1.38","1.17","1.27","42,425,480"
06/09/2020,"1.25","1.25","1.14","1.24","32,293,792"
06/08/2020,"1.07","1.28","1.07","1.25","40,534,640"
06/05/2020,"1.07","1.10","1.02","1.04","25,097,712"
06/04/2020,"1.11","1.18","1.09","1.12","14,057,196"
06/03/2020,"1.06","1.13","1.05","1.11","12,149,696"
06/02/2020,"1.07","1.08","1.02","1.05","9,479,120"
06/01/2020,"1.03","1.09","1.01","1.03","10,473,696"
05/29/2020,"1.08","1.11","1.01","1.02","15,894,160"
05/28/2020,"1.19","1.19","1.08","1.08","8,737,468"
05/27/2020,"1.14","1.18","1.09","1.17","12,586,412"
05/26/2020,"1.09","1.15","1.08","1.11","14,183,704"
05/22/2020,"1.12","1.12","1.03","1.05","9,519,404"
05/21/2020,"1.11","1.16","1.10","1.11","7,887,624"
05/20/2020,"1.13","1.17","1.08","1.11","10,174,436"
05/19/2020,"1.15","1.19","1.09","1.11","7,362,928"
05/18/2020,"1.10","1.16","1.09","1.15","9,486,776"
05/15/2020,"1.01","1.11","1.01","1.06","7,762,816"
05/14/2020,"1.04","1.05","0.99","1.03","8,019,472"
05/13/2020,"1.14","1.14","1.02","1.05","11,531,508"
05/12/2020,"1.20","1.23","1.12","1.14","10,556,628"
05/11/2020,"1.23","1.24","1.19","1.19","6,796,632"
05/08/2020,"1.22","1.30","1.21","1.25","9,414,644"
05/07/2020,"1.21","1.23","1.16","1.22","10,004,780"
05/06/2020,"1.35","1.35","1.23","1.23","13,478,560"
05/05/2020,"1.39","1.41","1.34","1.35","8,423,676"
05/04/2020,"1.46","1.48","1.35","1.37","16,272,420"
05/01/2020,"1.41","1.55","1.36","1.51","16,022,392"
04/30/2020,"1.47","1.49","1.41","1.43","8,694,120"
04/29/2020,"1.46","1.52","1.36","1.51","13,480,180"
04/28/2020,"1.48","1.51","1.27","1.41","20,800,756"
04/27/2020,"1.21","1.50","1.20","1.46","29,100,552"
04/24/2020,"1.20","1.21","1.17","1.19","8,946,176"
04/23/2020,"1.19","1.22","1.15","1.18","9,063,412"
04/22/2020,"1.29","1.29","1.21","1.22","10,712,532"
04/21/2020,"1.31","1.33","1.19","1.20","16,568,200"
04/20/2020,"1.21","1.48","1.20","1.40","24,340,044"
04/17/2020,"1.31","1.32","1.11","1.22","22,612,752"
04/16/2020,"1.28","1.36","1.22","1.26","13,487,684"
04/15/2020,"1.42","1.42","1.23","1.32","29,999,416"
04/14/2020,"1.30","1.62","1.29","1.49","54,026,520"
04/13/2020,"1.06","1.19","1.04","1.19","27,378,004"
04/09/2020,"0.90","1.06","0.87","0.97","23,635,664"
04/08/2020,"0.81","0.92","0.80","0.85","11,538,112"
04/07/2020,"0.85","0.86","0.78","0.82","11,347,436"
04/06/2020,"0.72","0.80","0.71","0.77","13,324,280"
04/03/2020,"0.71","0.74","0.64","0.70","15,323,044"
04/02/2020,"0.82","0.84","0.71","0.71","16,257,356"
04/01/2020,"0.86","0.87","0.78","0.81","18,274,780"
03/31/2020,"0.91","0.95","0.88","0.88","9,216,528"
03/30/2020,"1.06","1.07","0.91","0.91","13,402,284"
03/27/2020,"1.24","1.27","1.04","1.06","28,099,052"
03/26/2020,"1.06","1.18","1.06","1.10","24,843,916"
03/25/2020,"1.04","1.12","1.01","1.04","14,368,236"
03/24/2020,"0.99","1.05","0.97","1.04","27,222,636"
03/23/2020,"0.90","0.97","0.88","0.95","24,039,136"
03/20/2020,"1.02","1.02","0.91","0.94","30,888,776"
03/19/2020,"0.93","1.05","0.89","1.05","20,158,156"
03/18/2020,"1.03","1.06","0.88","0.94","14,606,836"
03/17/2020,"1.10","1.16","1.03","1.06","14,248,840"
03/16/2020,"0.98","1.14","0.98","1.09","19,466,784"
